C2748542	23171	19.0
C3151617	7837	19.0
C3809221	29925	19.0
C1851536	1280	32.57142857142857
C0008370	1593	19.0
C2931002	79053	48.264419031396045
C1845902	2316	19.0
C1839884	1288	19.0
C3280094	8622	19.0
C0007194	27063	13.118577826574523
C3714756	79876	19.0
C4722277	4359	19.0
C1853249	10939	48.264419031396045
C4084822	9786	42.265306122448976
C0018784	117531	19.0
C0027066	4204	19.0
C0949857	5428	19.0
C0949855	5428	19.0
C4225325	29110	32.57142857142857
C0949856	5428	19.0
C4551825	8029	16.461565822150753
C3714756	2671	19.0
C0410529	2261	63.281382826571125
C3809216	29925	19.0
C1970021	84342	40.97018664395446
C4085243	10682	48.264419031396045
C4084712	9885	19.0
C4540493	7407	19.0
C1414216	55145	66.38872721257691
C0546264	4534	12.648574197328786
C0162359	128178	32.57142857142857
C3280616	57728	32.57142857142857
C0543888	8243	19.0
C2676243	55703	19.0
C3280612	57728	19.0
C0005818	342618	19.0
C4048158	4204	19.0
C3554399	345193	19.0
C0010495	10516	19.0
C1303073	6595	32.57142857142857
C0025149	472	19.0
C0014544	71	19.0
C0080024	3815	64.2009877332651
C1291299	7173	66.34421809760767
C0085110	100	16.461565822150753
C3860213	6868	19.0
C1858266	6891	32.57142857142857
C1866810	6710	32.57142857142857
C0752097	65018	33.63929838788022
C0011849	847	19.0
C4225298	9750	19.0
C0581883	204	19.0
C3696898	9681	19.0
C1863012	1747	42.265306122448976
C0752098	65018	33.63929838788022
C1859773	6657	32.57142857142857
C0270541	4010	19.0
C0266568	8322	19.0
C0687120	79809	19.0
C0035828	801	19.0
C1279412	3759	13.341721377888732
C0035828	805	19.0
C0398691	4598	64.2009877332651
C4225296	23040	32.57142857142857
C3275476	10013	19.0
C0079298	23086	28.52980098420624
C1857253	6505	32.57142857142857
C2931001	79087	53.47458502242574
C3715156	3178	19.0
C0014544	7355	19.0
C3279840	4329	48.264419031396045
C4510873	9829	19.0
C3645536	4534	12.648574197328786
C4303860	5648	19.0
C3150207	974	19.0
C0086237	7337	13.341721377888732
C0520806	3752	19.0
C3280526	4604	19.0
C0023931	64175	19.0
C4310708	8131	28.52980098420624
C0432235	57728	19.0
C3810384	10324	32.57142857142857
C3809042	10678	19.0
C3150692	10133	19.0
C0015625	84464	19.0
C0086395	204	19.0
C2931891	55967	29.184294364116347
C0424605	2782	19.0
C0002735	7167	19.0
C4015728	51651	19.0
C0751111	116442	19.0
C0027708	7490	40.68707690579095
C0152423	9775	19.0
C0339546	23418	19.0
C0030312	55120	19.0
C0014544	7337	13.341721377888732
C4505436	5428	19.0
C1563705	359	34.54066642438833
C1563706	359	66.42513254460754
C3714756	79868	16.461565822150753
C0013364	8518	19.0
C2931783	54757	19.0
C1839728	8823	19.0
C0010278	1947	19.0
C1969052	23322	40.19957106649124
C1276035	4593	19.0
C1969053	23322	47.71397933320803
C0948896	1588	19.0
C1838979	29078	38.558073305079134
C4015160	11340	19.0
C2931850	6229	19.0
C0376634	2562	13.341721377888732
C0268242	6609	66.44019424222067
C1863704	9897	57.66811447611114
C0268243	6609	66.4888800503921
